k1_Initial_n,k2_Rule,k3_Friction_State,k4_Temporal_Depth,Resulting_Value,Convergence_Vector,Full_Trajectory
-1,3n+1,Negative_Mirror,5,-2,2.0,-1 -> -2 -> -1 -> -2 -> -1 -> -2
-2,3n+1,Negative_Mirror,5,-1,0.5,-2 -> -1 -> -2 -> -1 -> -2 -> -1
-3,3n+1,Negative_Mirror,5,-2,0.6666666666666666,-3 -> -8 -> -4 -> -2 -> -1 -> -2
-4,3n+1,Negative_Mirror,5,-2,0.5,-4 -> -2 -> -1 -> -2 -> -1 -> -2
-5,3n+1,Negative_Mirror,5,-5,1.0,-5 -> -14 -> -7 -> -20 -> -10 -> -5
-6,3n+1,Negative_Mirror,5,-1,0.16666666666666666,-6 -> -3 -> -8 -> -4 -> -2 -> -1
-7,3n+1,Negative_Mirror,5,-7,1.0,-7 -> -20 -> -10 -> -5 -> -14 -> -7
-8,3n+1,Negative_Mirror,5,-1,0.125,-8 -> -4 -> -2 -> -1 -> -2 -> -1
-9,3n+1,Negative_Mirror,5,-56,6.222222222222222,-9 -> -26 -> -13 -> -38 -> -19 -> -56
-10,3n+1,Negative_Mirror,5,-10,1.0,-10 -> -5 -> -14 -> -7 -> -20 -> -10
-11,3n+1,Negative_Mirror,5,-2,0.18181818181818182,-11 -> -32 -> -16 -> -8 -> -4 -> -2
-12,3n+1,Negative_Mirror,5,-2,0.16666666666666666,-12 -> -6 -> -3 -> -8 -> -4 -> -2
-13,3n+1,Negative_Mirror,5,-14,1.0769230769230769,-13 -> -38 -> -19 -> -56 -> -28 -> -14
-14,3n+1,Negative_Mirror,5,-14,1.0,-14 -> -7 -> -20 -> -10 -> -5 -> -14
-15,3n+1,Negative_Mirror,5,-16,1.0666666666666667,-15 -> -44 -> -22 -> -11 -> -32 -> -16
-16,3n+1,Negative_Mirror,5,-2,0.125,-16 -> -8 -> -4 -> -2 -> -1 -> -2
-17,3n+1,Negative_Mirror,5,-110,6.470588235294118,-17 -> -50 -> -25 -> -74 -> -37 -> -110
-18,3n+1,Negative_Mirror,5,-19,1.0555555555555556,-18 -> -9 -> -26 -> -13 -> -38 -> -19
-19,3n+1,Negative_Mirror,5,-20,1.0526315789473684,-19 -> -56 -> -28 -> -14 -> -7 -> -20
-20,3n+1,Negative_Mirror,5,-20,1.0,-20 -> -10 -> -5 -> -14 -> -7 -> -20
-21,3n+1,Negative_Mirror,5,-23,1.0952380952380953,-21 -> -62 -> -31 -> -92 -> -46 -> -23
-22,3n+1,Negative_Mirror,5,-4,0.18181818181818182,-22 -> -11 -> -32 -> -16 -> -8 -> -4
-23,3n+1,Negative_Mirror,5,-25,1.0869565217391304,-23 -> -68 -> -34 -> -17 -> -50 -> -25
-24,3n+1,Negative_Mirror,5,-4,0.16666666666666666,-24 -> -12 -> -6 -> -3 -> -8 -> -4
-25,3n+1,Negative_Mirror,5,-164,6.56,-25 -> -74 -> -37 -> -110 -> -55 -> -164
-26,3n+1,Negative_Mirror,5,-28,1.0769230769230769,-26 -> -13 -> -38 -> -19 -> -56 -> -28
-27,3n+1,Negative_Mirror,5,-5,0.18518518518518517,-27 -> -80 -> -40 -> -20 -> -10 -> -5
-28,3n+1,Negative_Mirror,5,-5,0.17857142857142858,-28 -> -14 -> -7 -> -20 -> -10 -> -5
-29,3n+1,Negative_Mirror,5,-32,1.103448275862069,-29 -> -86 -> -43 -> -128 -> -64 -> -32
-30,3n+1,Negative_Mirror,5,-32,1.0666666666666667,-30 -> -15 -> -44 -> -22 -> -11 -> -32
-31,3n+1,Negative_Mirror,5,-34,1.096774193548387,-31 -> -92 -> -46 -> -23 -> -68 -> -34
-32,3n+1,Negative_Mirror,5,-1,0.03125,-32 -> -16 -> -8 -> -4 -> -2 -> -1
-33,3n+1,Negative_Mirror,5,-218,6.606060606060606,-33 -> -98 -> -49 -> -146 -> -73 -> -218
-34,3n+1,Negative_Mirror,5,-37,1.088235294117647,-34 -> -17 -> -50 -> -25 -> -74 -> -37
-35,3n+1,Negative_Mirror,5,-38,1.0857142857142856,-35 -> -104 -> -52 -> -26 -> -13 -> -38
-36,3n+1,Negative_Mirror,5,-38,1.0555555555555556,-36 -> -18 -> -9 -> -26 -> -13 -> -38
-37,3n+1,Negative_Mirror,5,-41,1.1081081081081081,-37 -> -110 -> -55 -> -164 -> -82 -> -41
-38,3n+1,Negative_Mirror,5,-7,0.18421052631578946,-38 -> -19 -> -56 -> -28 -> -14 -> -7
-39,3n+1,Negative_Mirror,5,-43,1.1025641025641026,-39 -> -116 -> -58 -> -29 -> -86 -> -43
-40,3n+1,Negative_Mirror,5,-7,0.175,-40 -> -20 -> -10 -> -5 -> -14 -> -7
-41,3n+1,Negative_Mirror,5,-272,6.634146341463414,-41 -> -122 -> -61 -> -182 -> -91 -> -272
-42,3n+1,Negative_Mirror,5,-46,1.0952380952380953,-42 -> -21 -> -62 -> -31 -> -92 -> -46
-43,3n+1,Negative_Mirror,5,-8,0.18604651162790697,-43 -> -128 -> -64 -> -32 -> -16 -> -8
-44,3n+1,Negative_Mirror,5,-8,0.18181818181818182,-44 -> -22 -> -11 -> -32 -> -16 -> -8
-45,3n+1,Negative_Mirror,5,-50,1.1111111111111112,-45 -> -134 -> -67 -> -200 -> -100 -> -50
-46,3n+1,Negative_Mirror,5,-50,1.0869565217391304,-46 -> -23 -> -68 -> -34 -> -17 -> -50
-47,3n+1,Negative_Mirror,5,-52,1.1063829787234043,-47 -> -140 -> -70 -> -35 -> -104 -> -52
-48,3n+1,Negative_Mirror,5,-8,0.16666666666666666,-48 -> -24 -> -12 -> -6 -> -3 -> -8
-49,3n+1,Negative_Mirror,5,-326,6.653061224489796,-49 -> -146 -> -73 -> -218 -> -109 -> -326
-50,3n+1,Negative_Mirror,5,-55,1.1,-50 -> -25 -> -74 -> -37 -> -110 -> -55
-51,3n+1,Negative_Mirror,5,-56,1.0980392156862746,-51 -> -152 -> -76 -> -38 -> -19 -> -56
-52,3n+1,Negative_Mirror,5,-56,1.0769230769230769,-52 -> -26 -> -13 -> -38 -> -19 -> -56
-53,3n+1,Negative_Mirror,5,-59,1.1132075471698113,-53 -> -158 -> -79 -> -236 -> -118 -> -59
-54,3n+1,Negative_Mirror,5,-10,0.18518518518518517,-54 -> -27 -> -80 -> -40 -> -20 -> -10
-55,3n+1,Negative_Mirror,5,-61,1.1090909090909091,-55 -> -164 -> -82 -> -41 -> -122 -> -61
-56,3n+1,Negative_Mirror,5,-10,0.17857142857142858,-56 -> -28 -> -14 -> -7 -> -20 -> -10
-57,3n+1,Negative_Mirror,5,-380,6.666666666666667,-57 -> -170 -> -85 -> -254 -> -127 -> -380
-58,3n+1,Negative_Mirror,5,-64,1.103448275862069,-58 -> -29 -> -86 -> -43 -> -128 -> -64
-59,3n+1,Negative_Mirror,5,-11,0.1864406779661017,-59 -> -176 -> -88 -> -44 -> -22 -> -11
-60,3n+1,Negative_Mirror,5,-11,0.18333333333333332,-60 -> -30 -> -15 -> -44 -> -22 -> -11
-61,3n+1,Negative_Mirror,5,-68,1.1147540983606556,-61 -> -182 -> -91 -> -272 -> -136 -> -68
-62,3n+1,Negative_Mirror,5,-68,1.096774193548387,-62 -> -31 -> -92 -> -46 -> -23 -> -68
-63,3n+1,Negative_Mirror,5,-70,1.1111111111111112,-63 -> -188 -> -94 -> -47 -> -140 -> -70
-64,3n+1,Negative_Mirror,5,-2,0.03125,-64 -> -32 -> -16 -> -8 -> -4 -> -2
-65,3n+1,Negative_Mirror,5,-434,6.676923076923077,-65 -> -194 -> -97 -> -290 -> -145 -> -434
-66,3n+1,Negative_Mirror,5,-73,1.106060606060606,-66 -> -33 -> -98 -> -49 -> -146 -> -73
-67,3n+1,Negative_Mirror,5,-74,1.1044776119402986,-67 -> -200 -> -100 -> -50 -> -25 -> -74
-68,3n+1,Negative_Mirror,5,-74,1.088235294117647,-68 -> -34 -> -17 -> -50 -> -25 -> -74
-69,3n+1,Negative_Mirror,5,-77,1.1159420289855073,-69 -> -206 -> -103 -> -308 -> -154 -> -77
-70,3n+1,Negative_Mirror,5,-13,0.18571428571428572,-70 -> -35 -> -104 -> -52 -> -26 -> -13
-71,3n+1,Negative_Mirror,5,-79,1.1126760563380282,-71 -> -212 -> -106 -> -53 -> -158 -> -79
-72,3n+1,Negative_Mirror,5,-13,0.18055555555555555,-72 -> -36 -> -18 -> -9 -> -26 -> -13
-73,3n+1,Negative_Mirror,5,-488,6.684931506849315,-73 -> -218 -> -109 -> -326 -> -163 -> -488
-74,3n+1,Negative_Mirror,5,-82,1.1081081081081081,-74 -> -37 -> -110 -> -55 -> -164 -> -82
-75,3n+1,Negative_Mirror,5,-14,0.18666666666666668,-75 -> -224 -> -112 -> -56 -> -28 -> -14
-76,3n+1,Negative_Mirror,5,-14,0.18421052631578946,-76 -> -38 -> -19 -> -56 -> -28 -> -14
-77,3n+1,Negative_Mirror,5,-86,1.1168831168831168,-77 -> -230 -> -115 -> -344 -> -172 -> -86
-78,3n+1,Negative_Mirror,5,-86,1.1025641025641026,-78 -> -39 -> -116 -> -58 -> -29 -> -86
-79,3n+1,Negative_Mirror,5,-88,1.1139240506329113,-79 -> -236 -> -118 -> -59 -> -176 -> -88
-80,3n+1,Negative_Mirror,5,-14,0.175,-80 -> -40 -> -20 -> -10 -> -5 -> -14
-81,3n+1,Negative_Mirror,5,-542,6.691358024691358,-81 -> -242 -> -121 -> -362 -> -181 -> -542
-82,3n+1,Negative_Mirror,5,-91,1.1097560975609757,-82 -> -41 -> -122 -> -61 -> -182 -> -91
-83,3n+1,Negative_Mirror,5,-92,1.108433734939759,-83 -> -248 -> -124 -> -62 -> -31 -> -92
-84,3n+1,Negative_Mirror,5,-92,1.0952380952380953,-84 -> -42 -> -21 -> -62 -> -31 -> -92
-85,3n+1,Negative_Mirror,5,-95,1.1176470588235294,-85 -> -254 -> -127 -> -380 -> -190 -> -95
-86,3n+1,Negative_Mirror,5,-16,0.18604651162790697,-86 -> -43 -> -128 -> -64 -> -32 -> -16
-87,3n+1,Negative_Mirror,5,-97,1.1149425287356323,-87 -> -260 -> -130 -> -65 -> -194 -> -97
-88,3n+1,Negative_Mirror,5,-16,0.18181818181818182,-88 -> -44 -> -22 -> -11 -> -32 -> -16
-89,3n+1,Negative_Mirror,5,-596,6.696629213483146,-89 -> -266 -> -133 -> -398 -> -199 -> -596
-90,3n+1,Negative_Mirror,5,-100,1.1111111111111112,-90 -> -45 -> -134 -> -67 -> -200 -> -100
-91,3n+1,Negative_Mirror,5,-17,0.18681318681318682,-91 -> -272 -> -136 -> -68 -> -34 -> -17
-92,3n+1,Negative_Mirror,5,-17,0.18478260869565216,-92 -> -46 -> -23 -> -68 -> -34 -> -17
-93,3n+1,Negative_Mirror,5,-104,1.118279569892473,-93 -> -278 -> -139 -> -416 -> -208 -> -104
-94,3n+1,Negative_Mirror,5,-104,1.1063829787234043,-94 -> -47 -> -140 -> -70 -> -35 -> -104
-95,3n+1,Negative_Mirror,5,-106,1.1157894736842104,-95 -> -284 -> -142 -> -71 -> -212 -> -106
-96,3n+1,Negative_Mirror,5,-3,0.03125,-96 -> -48 -> -24 -> -12 -> -6 -> -3
-97,3n+1,Negative_Mirror,5,-650,6.701030927835052,-97 -> -290 -> -145 -> -434 -> -217 -> -650
-98,3n+1,Negative_Mirror,5,-109,1.1122448979591837,-98 -> -49 -> -146 -> -73 -> -218 -> -109
-99,3n+1,Negative_Mirror,5,-110,1.1111111111111112,-99 -> -296 -> -148 -> -74 -> -37 -> -110
-100,3n+1,Negative_Mirror,5,-110,1.1,-100 -> -50 -> -25 -> -74 -> -37 -> -110
